paper,coefficient number,regression number,original p-value,randomization inference p-value,reported treatment effect indicator,leverage
AshrafBerryShapiro_2010,32.0,7.0,0.6252514181051967,0.6314368563143685,0,
AshrafBerryShapiro_2010,33.0,7.0,0.1968226021660534,0.1953804619538046,0,
AshrafBerryShapiro_2010,34.0,7.0,0.6642944395903386,0.6651334866513349,0,
AshrafBerryShapiro_2010,35.0,7.0,0.2109620232693156,0.2186372745490982,0,
AshrafBerryShapiro_2010,36.0,8.0,0.4685114471291589,0.4670532946705329,1,0.0216217889556568
AshrafBerryShapiro_2010,37.0,8.0,0.2675401595116928,0.2682731726827317,0,
AshrafBerryShapiro_2010,38.0,8.0,0.0373019193896921,0.0388961103889611,0,
AshrafBerryShapiro_2010,39.0,8.0,0.0102914602505871,0.0110988901109889,0,
AshrafBerryShapiro_2010,40.0,8.0,0.2503712071296825,0.2482751724827517,0,
AshrafBerryShapiro_2010,41.0,8.0,0.0331433856621335,0.0333966603339666,0,
AshrafBerryShapiro_2010,42.0,9.0,0.7760534658794723,0.7817218278172183,1,0.0252291904007247
AshrafBerryShapiro_2010,43.0,9.0,0.4033864529262193,0.4005599440055994,1,0.0397265442684223
AshrafBerryShapiro_2010,44.0,9.0,0.4329607148955037,0.4366563343665633,0,
AshrafBerryShapiro_2010,45.0,9.0,0.0674209997287267,0.0694930506949305,0,
AshrafBerryShapiro_2010,46.0,9.0,0.041066592120163,0.0451954804519548,0,
AshrafBerryShapiro_2010,47.0,9.0,0.4864184727006726,0.4895510448955104,0,
AshrafBerryShapiro_2010,48.0,9.0,0.0431022979170769,0.0440955904409559,0,
AshrafBerryShapiro_2010,49.0,9.0,0.5785045679374967,0.581041895810419,0,
AshrafBerryShapiro_2010,50.0,9.0,0.7160441530559495,0.7132286771322868,0,
AshrafBerryShapiro_2010,51.0,9.0,0.4608889970927969,0.4607539246075392,0,
AshrafBerryShapiro_2010,52.0,9.0,0.6200291577977265,0.6119388061193881,0,
AshrafBerryShapiro_2010,53.0,9.0,0.6470936017778355,0.6393,0,
AshrafBerryShapiro_2010,54.0,10.0,0.2016826042694955,0.1988801119888011,1,0.0071530679303067
AshrafBerryShapiro_2010,55.0,10.0,0.2430129966689977,0.2467753224677532,0,
AshrafBerryShapiro_2010,56.0,10.0,0.0292396883892536,0.0300969903009699,0,
AshrafBerryShapiro_2010,57.0,10.0,0.0063781937001751,0.0072992700729927,0,
AshrafBerryShapiro_2010,58.0,10.0,0.1839079422519105,0.1837816218378162,0,
AshrafBerryShapiro_2010,59.0,10.0,0.0191062197121335,0.0205979402059794,0,
AshrafBerryShapiro_2010,60.0,11.0,0.4537496285574667,0.4531546845315468,1,0.0093435882504448
AshrafBerryShapiro_2010,61.0,11.0,0.1999924738467005,0.1971802819718028,1,0.0284249274509929
AshrafBerryShapiro_2010,62.0,11.0,0.4147853526316818,0.4158584141585841,0,
AshrafBerryShapiro_2010,63.0,11.0,0.0618851086916123,0.0620937906209379,0,
AshrafBerryShapiro_2010,64.0,11.0,0.0334057209129465,0.0363963603639636,0,
AshrafBerryShapiro_2010,65.0,11.0,0.4443842782140691,0.4460553944605539,0,
AshrafBerryShapiro_2010,66.0,11.0,0.0304918021971465,0.0313968603139686,0,
AshrafBerryShapiro_2010,67.0,11.0,0.5275277918041479,0.528047195280472,0,
AshrafBerryShapiro_2010,68.0,11.0,0.7909340026415222,0.7881211878812119,0,
AshrafBerryShapiro_2010,69.0,11.0,0.370819669376366,0.3721627837216278,0,
AshrafBerryShapiro_2010,70.0,11.0,0.4898053303863351,0.4876512348765123,0,
AshrafBerryShapiro_2010,71.0,11.0,0.5990803924179093,0.5895,0,
AshrafBerryShapiro_2010,72.0,12.0,0.5939543645548655,0.5987401259874012,1,0.0215016495069795
AshrafBerryShapiro_2010,73.0,12.0,0.6256486644650874,0.6218378162183782,0,
AshrafBerryShapiro_2010,74.0,12.0,0.8369789250353683,0.8396160383961604,0,
AshrafBerryShapiro_2010,75.0,12.0,0.068045324961451,0.0706929307069293,0,
AshrafBerryShapiro_2010,76.0,12.0,0.4040517151075066,0.4048595140485951,0,
AshrafBerryShapiro_2010,77.0,12.0,0.1407464937309836,0.1408859114088591,0,
AshrafBerryShapiro_2010,78.0,13.0,0.5900075349309757,0.5904409559044096,1,0.0251344689649587
AshrafBerryShapiro_2010,79.0,13.0,0.9411395630161296,0.9424057594240576,1,0.0377547421532063
AshrafBerryShapiro_2010,80.0,13.0,0.7525548915667735,0.7464253574642535,0,
AshrafBerryShapiro_2010,81.0,13.0,0.5001884522444744,0.5024497550244975,0,
AshrafBerryShapiro_2010,82.0,13.0,0.0632231990132416,0.0637936206379362,0,
AshrafBerryShapiro_2010,83.0,13.0,0.7557425895924896,0.7535246475352465,0,
AshrafBerryShapiro_2010,84.0,13.0,0.0683936160753663,0.0694930506949305,0,
AshrafBerryShapiro_2010,85.0,13.0,0.0515867018736715,0.057994200579942,0,
AshrafBerryShapiro_2010,86.0,13.0,0.1260827456282061,0.1363863613638636,0,
AshrafBerryShapiro_2010,87.0,13.0,0.4474358589355948,0.4626537346265373,0,
AshrafBerryShapiro_2010,88.0,13.0,0.5547869570858225,0.5615438456154385,0,
AshrafBerryShapiro_2010,89.0,13.0,0.3402277879251918,0.3601,0,
AshrafBerryShapiro_2010,90.0,14.0,0.4699808792558418,0.457954204579542,1,0.007150113922851
AshrafBerryShapiro_2010,91.0,14.0,0.6137813209323926,0.6119388061193881,0,
AshrafBerryShapiro_2010,92.0,14.0,0.9392222184656572,0.9404059594040596,0,
AshrafBerryShapiro_2010,93.0,14.0,0.0762920516489515,0.078992100789921,0,
AshrafBerryShapiro_2010,94.0,14.0,0.5162093292696195,0.5155484451554845,0,
AshrafBerryShapiro_2010,95.0,14.0,0.1627515513323759,0.1635836416358364,0,
AshrafBerryShapiro_2010,96.0,15.0,0.6262614821201902,0.6193380661933806,1,0.0093303838961274
AshrafBerryShapiro_2010,97.0,15.0,0.6113888170515668,0.6140385961403859,1,0.029824709752447
